sbe_code,odf_name,odf_code,data_type,precision,units,description
AltM,ALTB,ALTB,DOUB,2,m,Altimeter (Altitude Above Bottom)
C0S/m,CNDC,CNDC,DOUB,6,S/m,Electrical Conductivity
DepSM,DEPH,DEPH,DOUB,3,m,Depth (salt water) using  lat = 45.00
Flag,FFFF,FFFF,INTE,0,,Flag
Latitude,LATD,LATD,DOUB,5,deg,Latitude in Decimal Degrees
Longitude,LOND,LOND,DOUB,5,deg,Longitude in Decimal Degrees
nbin,SNCN,SNCN,INTE,0,,Scans Per Bin
OxsatML/L,OSAT,OSAT,DOUB,4,ml/l,Derived Oxygen Saturation (Weiss)
OxsC,OCUR,OCUR,DOUB,5,V,Secondary Beckman Oxygen Current
Par,PSAR,PSAR,DOUB,5,umol photons/m^2/sec,primary PAR/Irradiance
ParLog,PSAR,PSAR,DOUB,0,umol photons/m^2/sec,PAR/Logarithmic
ParSatLog,PSAR,PSAR,DOUB,0,umol photons/m^2/sec,PAR/Logarithmic
Ph,PHPH,PHPH,DOUB,4,,pH
Potemp068C,POTM,POTM,DOUB,4,deg C,Potential Temperature IPTS-68 Scale
Potemp090C,POTM,POTM,DOUB,4,deg C,Potential Temperature ITS-90 Scale
PrDM,PRES,PRES,DOUB,3,db,Pressure from Digiquartz
Sal00,PSAL,PSAL,DOUB,4,PSU,Practical Salinity
Sbeox0ML/L,DOXC,DOXY,DOUB,4,ml/l,Derived SBE43 Dissolved Oxygen Concentration in mmol/m**3 converted to ml/l
Sbeox0ML/L,DOXY,DOXY,DOUB,4,ml/l,Derived SBE43 Dissolved Oxygen Concentration
Scan,CNTR,CNTR,INTE,0,,Scan Count
SeaTurbMtr0,SEATM,TURB,DOUB,0,FTU,OBS Seapoint Turbidity
Sigma-é00,SIGP,SIGP,DOUB,4,kg/m^3,Density (sigma-theta)
Spar,SPAR,SPAR,DOUB,0,umol photons/m^2/sec,SPAR
SparSatLin,SPARLIN,SPAR,DOUB,0,umol photons/m^2/sec,SPAR/Linear
SparSatLog,SPARLOG,SPAR,DOUB,0,umol photons/m^2/sec,SPAR/Logarithmic
SvCM,SVEL,SVEL,DOUB,2,m/s,Derived Sound Velocity (Chen-Millero)
T068C,TEMP,TEMP,DOUB,4,deg C,Temperature IPTS-68 scale
T090C,TE90,TE90,DOUB,4,deg C,Temperature ITS-90 scale
TimeS,SYTM,SYTM,DOUB,3,seconds,Elapsed Time
